ft0,st0,e0
-65.6,390.41973463734246,324.81973463734244
-67.0,389.8801679793331,322.8801679793331
-43.2,368.8548793114824,325.65487931148243
-49.400000000000006,282.41360110216027,233.01360110216027
-40.8,267.6179181631739,226.81791816317389
-40.0,237.18450838283047,197.18450838283047
-59.8,252.4442447616692,192.6442447616692
-59.8,252.4442447616692,192.6442447616692
-59.80000000000001,234.95854954520036,175.15854954520034
-59.80000000000001,234.95854954520036,175.15854954520034
-91.19999999999999,215.8087137128527,124.6087137128527
-73.2,194.7997477110909,121.5997477110909
-73.2,194.7997477110909,121.5997477110909
-84.2,195.35288561540213,111.15288561540213
-86.2,185.35232132772614,99.15232132772614
-86.2,185.35232132772614,99.15232132772614
-86.2,185.35232132772614,99.15232132772614
-86.20000000000002,175.3153979829097,89.11539798290968
-86.20000000000002,175.3153979829097,89.11539798290968
-86.20000000000002,175.3153979829097,89.11539798290968
-86.20000000000002,175.3153979829097,89.11539798290968
-101.99999999999999,186.1976255364542,84.19762553645423
-101.99999999999999,186.1976255364542,84.19762553645423
-97.00000000000001,175.182961394206,78.18296139420598
-115.4,170.15732608917182,54.75732608917181
-115.4,170.15732608917182,54.75732608917181
-104.6,161.45905003329105,56.859050033291055
-104.6,161.45905003329105,56.859050033291055
-105.4,161.94198370400056,56.54198370400056
-105.4,161.94198370400056,56.54198370400056
-105.4,161.94198370400056,56.54198370400056
-105.4,161.94198370400056,56.54198370400056
-99.0,144.24940626658312,45.24940626658312
-104.6,144.23426983130696,39.634269831306966
-104.6,144.23426983130696,39.634269831306966
-104.6,144.23426983130696,39.634269831306966
-104.6,144.23426983130696,39.634269831306966
-131.60000000000002,171.02109963657102,39.421099636571
-113.19999999999999,152.1115032969052,38.91150329690521
-128.8,151.8081606351585,23.008160635158475
-125.4,132.65708056756847,7.257080567568465
-128.39999999999998,125.23152021553285,-3.1684797844671237
-128.39999999999998,125.23152021553285,-3.1684797844671237
-128.39999999999998,125.23152021553285,-3.1684797844671237
-128.39999999999998,125.23152021553285,-3.1684797844671237
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-152.79999999999995,140.92157674830347,-11.87842325169649
-152.79999999999995,140.92157674830347,-11.87842325169649
-152.79999999999995,140.92157674830347,-11.87842325169649
-152.79999999999995,140.92157674830347,-11.87842325169649
-152.79999999999995,140.92157674830347,-11.87842325169649
-152.79999999999995,140.92157674830347,-11.87842325169649
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999994,137.41815603550205,-10.581843964497892
-147.99999999999997,137.86356580057503,-10.13643419942494
-147.99999999999997,137.86356580057503,-10.13643419942494
-147.99999999999997,137.86356580057503,-10.13643419942494
-147.99999999999997,137.86356580057503,-10.13643419942494
-147.99999999999997,137.86356580057503,-10.13643419942494
-147.99999999999997,137.86356580057503,-10.13643419942494
-147.99999999999997,137.86356580057503,-10.13643419942494
-147.99999999999997,137.86356580057503,-10.13643419942494
-151.19999999999996,138.28138433682096,-12.918615663178997
-158.79999999999998,138.28138433682096,-20.51861566317902
-158.79999999999998,138.28138433682096,-20.51861566317902
-163.60000000000002,143.06562315853816,-20.534376841461864
-163.60000000000002,143.06562315853816,-20.534376841461864
-163.60000000000002,143.06562315853816,-20.534376841461864
-163.60000000000002,143.06562315853816,-20.534376841461864
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-148.59999999999997,121.48255261081053,-27.117447389189437
-157.99999999999997,132.019205533583,-25.980794466416967
-157.99999999999997,132.019205533583,-25.980794466416967
-157.99999999999997,132.019205533583,-25.980794466416967
-157.99999999999997,132.019205533583,-25.980794466416967
-157.99999999999997,132.019205533583,-25.980794466416967
-152.99999999999997,127.23496671186582,-25.76503328813415
-152.99999999999997,127.23496671186582,-25.76503328813415
-152.99999999999997,127.23496671186582,-25.76503328813415
-152.99999999999997,127.23496671186582,-25.76503328813415
-152.99999999999997,127.23496671186582,-25.76503328813415
-152.99999999999997,127.23496671186582,-25.76503328813415
-152.99999999999997,127.23496671186582,-25.76503328813415
-152.99999999999997,127.23496671186582,-25.76503328813415
-152.99999999999997,127.23496671186582,-25.76503328813415
-157.99999999999997,132.019205533583,-25.980794466416967
-157.99999999999997,132.019205533583,-25.980794466416967
-157.99999999999997,132.019205533583,-25.980794466416967
