ft0,st0,e0
-65.6,7.808394692746849,-57.79160530725314
-65.6,7.808394692746849,-57.79160530725314
-77.80000000000001,6.816729780493027,-70.98327021950698
-85.19999999999999,8.011217892219594,-77.1887821077804
-85.20000000000002,7.149561255743196,-78.05043874425682
-85.20000000000002,6.957367151606244,-78.24263284839377
-91.4,7.592817888782938,-83.80718211121707
-105.39999999999999,6.378232720556373,-99.02176727944362
-110.4,7.222209635977084,-103.17779036402293
-110.4,7.222209635977084,-103.17779036402293
-128.79999999999998,6.408398402203041,-122.39160159779695
-128.79999999999998,6.834290587033713,-121.96570941296628
-128.39999999999998,7.093783029576514,-121.30621697042346
-128.39999999999998,7.093783029576514,-121.30621697042346
-128.39999999999998,5.699179624793274,-122.7008203752067
-128.4,6.828380213962916,-121.57161978603709
-133.0,9.020532240615562,-123.97946775938443
-138.39999999999998,7.365109835577157,-131.03489016442282
-133.59999999999997,5.088717940091392,-128.51128205990858
-133.4,7.032231362248504,-126.3677686377515
-133.39999999999998,7.784214050172233,-125.61578594982774
-136.2,6.3663880732325255,-129.83361192676747
-136.6,7.788040465884525,-128.81195953411546
-136.6,7.788040465884525,-128.81195953411546
-137.0,6.08825115109339,-130.9117488489066
-150.6,5.280898795059247,-145.31910120494075
-150.6,6.428689505735669,-144.17131049426433
-150.6,6.428689505735669,-144.17131049426433
-150.60000000000002,6.61044460110457,-143.98955539889545
-150.59999999999997,6.9829308010092666,-143.6170691989907
-150.59999999999997,6.9829308010092666,-143.6170691989907
-152.6,5.462328437778749,-147.13767156222124
-152.59999999999997,6.072965125619941,-146.52703487438004
-152.59999999999997,6.072965125619941,-146.52703487438004
-152.59999999999997,6.072965125619941,-146.52703487438004
-152.59999999999997,6.072965125619941,-146.52703487438004
-152.59999999999997,6.072965125619941,-146.52703487438004
-152.59999999999997,6.072965125619941,-146.52703487438004
-152.59999999999997,4.7097383282849234,-147.89026167171505
-152.59999999999997,4.881500346272302,-147.71849965372766
-152.59999999999997,4.881500346272302,-147.71849965372766
-150.0,6.035149625524539,-143.96485037447547
-150.0,5.997181496251969,-144.00281850374802
-150.0,5.997181496251969,-144.00281850374802
-149.99999999999997,6.44955743163279,-143.55044256836717
-150.0,5.68476510579569,-144.3152348942043
-150.0,7.230665084503892,-142.7693349154961
-150.0,6.00925789856923,-143.99074210143078
-150.0,6.00925789856923,-143.99074210143078
-150.0,5.641031408173579,-144.35896859182643
-150.0,5.641031408173579,-144.35896859182643
-148.0,6.81110742140026,-141.18889257859973
-148.0,8.022895353998024,-139.97710464600198
-163.79999999999998,6.378385192287898,-157.42161480771207
-160.99999999999997,5.524021026579797,-155.47597897342018
-160.99999999999997,5.524021026579797,-155.47597897342018
-160.99999999999997,5.524021026579797,-155.47597897342018
-160.99999999999997,5.524021026579797,-155.47597897342018
-160.99999999999997,5.524021026579797,-155.47597897342018
-174.79999999999995,5.509792585697546,-169.29020741430242
-172.79999999999998,7.030394948928062,-165.76960505107192
-176.79999999999998,7.775921213278936,-169.02407878672105
-178.79999999999998,5.90308268245901,-172.89691731754098
-178.79999999999998,5.940303071299737,-172.85969692870026
-173.99999999999997,7.252299926404468,-166.7477000735955
-178.6,6.09668967954516,-172.50331032045483
-178.79999999999998,6.255318850048418,-172.54468114995157
-178.79999999999995,6.687797769963442,-172.1122022300365
-178.79999999999998,6.279482937353624,-172.52051706264635
-178.59999999999997,8.180319560535521,-170.41968043946446
-178.59999999999997,8.180319560535521,-170.41968043946446
-178.59999999999997,8.180319560535521,-170.41968043946446
-178.60000000000002,7.604689186218941,-170.9953108137811
-178.60000000000002,7.604689186218941,-170.9953108137811
-178.60000000000002,7.604689186218941,-170.9953108137811
-178.60000000000002,6.2782134896100406,-172.32178651038998
-178.60000000000002,6.2782134896100406,-172.32178651038998
-178.60000000000002,6.2782134896100406,-172.32178651038998
-178.60000000000002,6.2782134896100406,-172.32178651038998
-178.60000000000002,7.604689186218941,-170.9953108137811
-178.6,7.219386087700187,-171.3806139122998
-178.6,7.219386087700187,-171.3806139122998
-178.79999999999998,5.726864297128109,-173.07313570287187
-178.79999999999998,5.726864297128109,-173.07313570287187
-173.99999999999997,6.442786392563511,-167.55721360743647
-178.6,5.876423758783507,-172.72357624121648
-178.6,5.876423758783507,-172.72357624121648
-178.79999999999998,5.736523782845863,-173.06347621715412
-187.39999999999998,5.113845053209573,-182.28615494679042
-187.39999999999998,5.113845053209573,-182.28615494679042
-194.0,5.493130804107866,-188.50686919589214
-194.0,5.493130804107866,-188.50686919589214
-194.0,5.493130804107866,-188.50686919589214
-194.0,5.493130804107866,-188.50686919589214
-194.0,6.06569579491143,-187.93430420508858
-194.0,6.06569579491143,-187.93430420508858
-194.0,6.06569579491143,-187.93430420508858
-194.0,6.06569579491143,-187.93430420508858
-194.0,6.06569579491143,-187.93430420508858
-194.0,6.06569579491143,-187.93430420508858
-194.0,6.086748073081322,-187.9132519269187
-194.0,6.086748073081322,-187.9132519269187
-194.0,6.086748073081322,-187.9132519269187
-194.0,7.267385842102904,-186.7326141578971
-194.0,6.395986624179399,-187.6040133758206
-193.99999999999997,6.664103828903713,-187.33589617109627
-193.99999999999997,6.676077407718188,-187.32392259228178
-193.99999999999997,6.676077407718188,-187.32392259228178
-193.99999999999997,6.676077407718188,-187.32392259228178
-193.99999999999997,6.676077407718188,-187.32392259228178
-193.99999999999997,4.3491263114420375,-189.65087368855794
-193.99999999999997,4.529034475658592,-189.47096552434138
-193.99999999999997,6.935118850539708,-187.06488114946026
-193.99999999999994,6.935118850539708,-187.06488114946023
-194.0,6.183650231525481,-187.8163497684745
-194.0,6.183650231525481,-187.8163497684745
-194.0,6.193724182807666,-187.80627581719233
-193.99999999999994,6.284326112007461,-187.7156738879925
-193.99999999999994,6.284326112007461,-187.7156738879925
