src,dst,value
1,7,0.0
1,13,0.0
1,19,0.0
1,25,0.0
1,31,0.0
1,37,0.0
1,43,0.0
1,49,0.0
1,55,0.0
1,61,0.0
1,67,0.0
1,73,0.0
1,79,0.0
1,85,0.0
1,91,0.0
1,97,0.0
1,103,0.0
1,109,0.0
1,115,0.0
1,121,0.0
1,127,0.0
1,133,0.0
1,139,0.0
1,145,0.0
1,151,0.0
1,157,0.0
1,163,0.0
1,169,0.0
1,175,0.0
1,181,0.0
1,187,0.0
1,193,0.0
1,199,0.0
1,205,0.0
1,211,0.0
1,217,0.0
1,223,0.0
1,229,0.0
1,235,0.0
1,241,0.0
1,247,0.0
1,253,0.0
1,259,0.0
1,265,0.0
1,271,0.0
1,277,0.0
1,283,0.0
1,289,0.0
1,295,0.0
1,301,0.0
1,307,0.0
1,313,0.0
1,319,0.0
1,325,0.0
1,331,0.0
1,337,0.0
1,343,0.0
1,349,0.0
1,355,0.0
1,361,0.0
1,367,0.0
1,373,0.0
1,379,0.0
1,385,0.0
1,391,0.0
1,397,0.0
7,1,0.0
7,13,0.0
7,19,0.0
7,25,0.0
7,31,0.0
7,37,0.0
7,43,0.0
7,49,0.0
7,55,0.0
7,61,0.0
7,67,0.0
7,73,0.0
7,79,0.0
7,85,0.0
7,91,0.0
7,97,0.0
7,103,0.0
7,109,0.0
7,115,0.0
7,121,0.0
7,127,0.0
7,133,0.0
7,139,0.0
7,145,0.0
7,151,0.0
7,157,0.0
7,163,0.0
7,169,0.0
7,175,0.0
7,181,0.0
7,187,0.0
7,193,0.0
7,199,0.0
7,205,0.0
7,211,0.0
7,217,0.0
7,223,0.0
7,229,0.0
7,235,0.0
7,241,0.0
7,247,0.0
7,253,0.0
7,259,0.0
7,265,0.0
7,271,0.0
7,277,0.0
7,283,0.0
7,289,0.0
7,295,0.0
7,301,0.0
7,307,0.0
7,313,0.0
7,319,0.0
7,325,0.0
7,331,0.0
7,337,0.0
7,343,0.0
7,349,0.0
7,355,0.0
7,361,0.0
7,367,0.0
7,373,0.0
7,379,0.0
7,385,0.0
7,391,0.0
7,397,0.0
13,1,0.0
13,7,0.0
13,19,0.0
13,25,0.0
13,31,0.0
13,37,0.0
13,43,0.0
13,49,0.0
13,55,0.0
13,61,0.0
13,67,0.0
13,73,0.0
13,79,0.0
13,85,0.0
13,91,0.0
13,97,0.0
13,103,0.0
13,109,0.0
13,115,0.0
13,121,0.0
13,127,0.0
13,133,0.0
13,139,0.0
13,145,0.0
13,151,0.0
13,157,0.0
13,163,0.0
13,169,0.0
13,175,0.0
13,181,0.0
13,187,0.0
13,193,0.0
13,199,0.0
13,205,0.0
13,211,0.0
13,217,0.0
13,223,0.0
13,229,0.0
13,235,0.0
13,241,0.0
13,247,0.0
13,253,0.0
13,259,0.0
13,265,0.0
13,271,0.0
13,277,0.0
13,283,0.0
13,289,0.0
13,295,0.0
13,301,0.0
13,307,0.0
13,313,0.0
13,319,0.0
13,325,0.0
13,331,0.0
13,337,0.0
13,343,0.0
13,349,0.0
13,355,0.0
13,361,0.0
13,367,0.0
13,373,0.0
13,379,0.0
13,385,0.0
13,391,0.0
13,397,0.0
19,1,0.0
19,7,0.0
19,13,0.0
19,25,0.0
19,31,0.0
19,37,0.0
19,43,0.0
19,49,0.0
19,55,0.0
19,61,0.0
19,67,0.0
19,73,0.0
19,79,0.0
19,85,0.0
19,91,0.0
19,97,0.0
19,103,0.0
19,109,0.0
19,115,0.0
19,121,0.0
19,127,0.0
19,133,0.0
19,139,0.0
19,145,0.0
19,151,0.0
19,157,0.0
19,163,0.0
19,169,0.0
19,175,0.0
19,181,0.0
19,187,0.0
19,193,0.0
19,199,0.0
19,205,0.0
19,211,0.0
19,217,0.0
19,223,0.0
19,229,0.0
19,235,0.0
19,241,0.0
19,247,0.0
19,253,0.0
19,259,0.0
19,265,0.0
19,271,0.0
19,277,0.0
19,283,0.0
19,289,0.0
19,295,0.0
19,301,0.0
19,307,0.0
19,313,0.0
19,319,0.0
19,325,0.0
19,331,0.0
19,337,0.0
19,343,0.0
19,349,0.0
19,355,0.0
19,361,0.0
19,367,0.0
19,373,0.0
19,379,0.0
19,385,0.0
19,391,0.0
19,397,0.0
25,1,0.0
25,7,0.0
25,13,0.0
25,19,0.0
25,31,0.0
25,37,0.0
25,43,0.0
25,49,0.0
25,55,0.0
25,61,0.0
25,67,0.0
25,73,0.0
25,79,0.0
25,85,0.0
25,91,0.0
25,97,0.0
25,103,0.0
25,109,0.0
25,115,0.0
25,121,0.0
25,127,0.0
25,133,0.0
25,139,0.0
25,145,0.0
25,151,0.0
25,157,0.0
25,163,0.0
25,169,0.3
25,175,0.0
25,181,0.0
25,187,0.0
25,193,0.0
25,199,0.0
25,205,0.0
25,211,0.0
25,217,0.0
25,223,0.0
25,229,0.0
25,235,0.0
25,241,0.0
25,247,0.0
25,253,0.0
25,259,0.0
25,265,0.0
25,271,0.0
25,277,0.0
25,283,0.0
25,289,0.0
25,295,0.0
25,301,0.0
25,307,0.0
25,313,0.0
25,319,0.0
25,325,0.0
25,331,0.0
25,337,0.0
25,343,0.0
25,349,0.0
25,355,0.0
25,361,0.0
25,367,0.0
25,373,0.0
25,379,0.0
25,385,0.0
25,391,0.0
25,397,0.0
31,1,0.0
31,7,0.0
31,13,0.0
31,19,0.0
31,25,0.0
31,37,0.0
31,43,0.0
31,49,0.0
31,55,0.0
31,61,0.0
31,67,0.0
31,73,0.0
31,79,0.0
31,85,0.0
31,91,0.0
31,97,0.0
31,103,0.0
31,109,0.0
31,115,0.0
31,121,0.0
31,127,0.0
31,133,0.0
31,139,0.0
31,145,0.0
31,151,0.0
31,157,0.0
31,163,0.0
31,169,0.0
31,175,0.0
31,181,0.0
31,187,0.0
31,193,0.0
31,199,0.0
31,205,0.0
31,211,7.9
31,217,0.0
31,223,0.0
31,229,0.0
31,235,0.0
31,241,0.0
31,247,0.0
31,253,0.0
31,259,0.0
31,265,0.0
31,271,0.0
31,277,0.0
31,283,0.0
31,289,0.0
31,295,0.0
31,301,0.0
31,307,0.0
31,313,0.0
31,319,0.0
31,325,0.0
31,331,0.0
31,337,0.0
31,343,0.0
31,349,0.0
31,355,0.0
31,361,0.0
31,367,0.0
31,373,0.0
31,379,0.0
31,385,0.0
31,391,0.0
31,397,0.0
37,1,0.0
37,7,0.0
37,13,0.0
37,19,0.0
37,25,0.0
37,31,0.0
37,43,0.0
37,49,0.0
37,55,0.0
37,61,0.0
37,67,0.0
37,73,0.0
37,79,0.0
37,85,0.0
37,91,0.0
37,97,0.0
37,103,0.0
37,109,0.0
37,115,0.0
37,121,0.0
37,127,0.0
37,133,0.0
37,139,0.0
37,145,0.0
37,151,0.0
37,157,0.0
37,163,0.0
37,169,0.0
37,175,0.0
37,181,0.0
37,187,0.0
37,193,0.0
37,199,0.0
37,205,0.0
37,211,0.0
37,217,0.0
37,223,0.0
37,229,0.0
37,235,0.0
37,241,0.0
37,247,0.0
37,253,0.0
37,259,0.0
37,265,0.0
37,271,0.0
37,277,0.0
37,283,0.0
37,289,0.0
37,295,0.0
37,301,0.0
37,307,0.0
37,313,0.0
37,319,0.0
37,325,0.0
37,331,0.0
37,337,0.0
37,343,0.0
37,349,0.0
37,355,0.0
37,361,0.0
37,367,0.0
37,373,0.0
37,379,0.0
37,385,0.0
37,391,0.0
37,397,0.0
43,1,0.0
43,7,0.0
43,13,0.0
43,19,0.0
43,25,0.0
43,31,0.0
43,37,0.0
43,49,0.0
43,55,0.0
43,61,0.0
43,67,0.0
43,73,0.0
43,79,0.0
43,85,0.0
43,91,0.0
43,97,0.0
43,103,0.0
43,109,0.0
43,115,0.0
43,121,0.0
43,127,0.0
43,133,0.0
43,139,0.0
43,145,0.0
43,151,0.0
43,157,0.0
43,163,0.0
43,169,0.0
43,175,0.0
43,181,0.0
43,187,0.0
43,193,0.0
43,199,0.0
43,205,0.0
43,211,0.0
43,217,0.0
43,223,0.0
43,229,0.0
43,235,0.0
43,241,0.0
43,247,0.0
43,253,0.0
43,259,0.0
43,265,0.0
43,271,0.0
43,277,0.0
43,283,0.0
43,289,0.0
43,295,0.0
43,301,0.0
43,307,0.0
43,313,0.0
43,319,0.0
43,325,0.0
43,331,0.0
43,337,0.0
43,343,0.0
43,349,0.0
43,355,0.0
43,361,0.0
43,367,0.0
43,373,0.0
43,379,0.0
43,385,0.0
43,391,0.0
43,397,0.0
49,1,0.0
49,7,0.0
49,13,0.0
49,19,0.0
49,25,0.0
49,31,0.0
49,37,0.0
49,43,0.0
49,55,0.0
49,61,0.0
49,67,0.0
49,73,0.0
49,79,0.0
49,85,0.0
49,91,0.0
49,97,0.0
49,103,0.0
49,109,0.0
49,115,0.0
49,121,0.0
49,127,0.0
49,133,0.0
49,139,0.0
49,145,0.0
49,151,0.0
49,157,0.0
49,163,0.0
49,169,0.0
49,175,0.0
49,181,0.0
49,187,0.0
49,193,0.0
49,199,0.0
49,205,0.0
49,211,0.0
49,217,0.0
49,223,0.0
49,229,0.0
49,235,0.0
49,241,0.0
49,247,0.0
49,253,0.0
49,259,0.0
49,265,0.0
49,271,0.0
49,277,0.0
49,283,0.0
49,289,0.0
49,295,0.0
49,301,0.0
49,307,0.0
49,313,0.0
49,319,0.0
49,325,0.0
49,331,0.0
49,337,0.0
49,343,0.0
49,349,0.0
49,355,0.0
49,361,0.0
49,367,0.0
49,373,0.0
49,379,0.0
49,385,0.0
49,391,0.0
49,397,0.0
55,1,0.0
55,7,0.0
55,13,0.0
55,19,0.0
55,25,0.0
55,31,0.0
55,37,0.0
55,43,0.0
55,49,0.0
55,61,0.0
55,67,0.0
55,73,0.0
55,79,0.0
55,85,0.0
55,91,0.0
55,97,0.0
55,103,0.0
55,109,0.0
55,115,0.0
55,121,0.0
55,127,0.0
55,133,0.0
55,139,0.0
55,145,0.0
55,151,0.0
55,157,0.0
55,163,0.0
55,169,0.0
55,175,0.0
55,181,0.0
55,187,0.0
55,193,0.0
55,199,0.0
55,205,0.0
55,211,0.0
55,217,0.0
55,223,0.0
55,229,0.0
55,235,0.0
55,241,0.0
55,247,0.0
