line_index,stops,original_fitness,original_passenger_service,adjusted_passenger_service,cost,cost_norm,adjusted_service_norm,adjusted_fitness,shared_edge_count_for_line,shared_edge_ratio_for_line
1,37;133;211;229;169;61,0.2976677151969842,411.7268347469028,411.7268347469028,33.13002782331673,0.11065619062586426,0.7864887005671496,0.33791625497064265,0,0.0
2,307;247;229;127;85;43,0.02837560107121398,127.38151822938971,127.3815182293895,22.500697695395882,0.04932719855443605,0.2433266823866084,0.09699974191608618,0,0.0
3,337;235;253;211;271;331,0.0029283567788094544,67.74339554241135,67.74339554241112,19.3827930832953,0.031337546814040884,0.1294047670342142,0.04903361011008665,0,0.0
4,367;349;331;313;253;295,-0.006310200373288666,21.516615767970052,21.51661576797003,15.872862203197844,0.011085986224035572,0.041101462785043036,0.015007738280503731,0,0.0
