MCS,ft0,st0,e0,ft1,st1,e1
84,-11.850000000000001,55.8759629426822,52.489664795548094,-20.35,60.656136777286825,56.60582993842249
88,-19.75,55.8759629426822,52.0946647955481,-12.850000000000001,54.950986889931585,51.56093754543501
90,-19.75,55.8759629426822,52.0946647955481,-12.850000000000001,50.91776595541484,47.72937765764411
93,-8.157142857142858,58.70615117165945,55.36298647021934,-9.242857142857142,50.91776595541484,47.90973480050125
94,-8.157142857142858,58.70615117165945,55.36298647021934,-9.842857142857143,50.99838712132786,47.95632490811861
96,-8.157142857142858,58.70615117165945,55.36298647021934,-9.842857142857143,50.99838712132786,47.95632490811861
98,-8.157142857142858,58.70615117165945,55.36298647021934,-9.442857142857143,48.47495510833478,45.57906449577519
99,-8.157142857142858,65.53697135868919,61.85226564789759,-9.442857142857143,48.47495510833478,45.57906449577519
103,-8.357142857142858,62.93449014047741,59.369908490596394,-9.642857142857142,48.47495510833478,45.569064495775194
106,-8.697142857142854,62.93449014047741,59.3529084905964,-9.30285714285714,48.41567203578952,45.52974557685719
107,-8.697142857142854,66.11731183633361,62.376589101659796,-9.30285714285714,48.41567203578952,45.52974557685719
111,-8.439999999999998,68.88158577937922,65.01550649041027,-8.959999999999999,48.41567203578952,45.546888434000046
112,-8.439999999999998,68.88158577937922,65.01550649041027,-24.76,44.27212189712632,40.82051580227001
113,-8.439999999999998,68.88158577937922,65.01550649041027,-24.76,44.27212189712632,40.82051580227001
115,-8.399999999999999,67.06264893328925,63.28951648662479,-24.8,44.27212189712632,40.818515802270014
118,-8.399999999999999,67.06264893328925,63.28951648662479,-8.999999999999998,45.338661917337085,42.62172882147023
119,-0.5,63.06927196394186,59.89080836574477,-1.1,45.338661917337085,43.01672882147023
123,-0.6095238095238096,61.332751965239595,58.235638176501425,-0.9904761904761905,45.338661917337085,43.02220501194642
128,-0.34285714285714286,61.332751965239595,58.24897150983476,-1.4571428571428573,49.048556762780734,46.52327178178456
