run_id,lambda,seed,fitness,cost,cost_norm,passenger_service,passenger_service_norm,service,service_norm,is_pareto,pareto_label,best_individual,line_edges_count
1,0.0,42,0.8113681837048689,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
2,0.0,43,0.8266215855298972,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,K_C,"[49, 43, 265, 325, 367, 277]",41
3,0.0,44,0.8113681837048689,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
4,0.0,45,0.8113681837048689,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
5,0.05,42,0.7600299026080806,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
6,0.05,43,0.7766717802658604,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,,"[49, 43, 265, 325, 367, 277]",41
7,0.05,44,0.7600299026080806,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
8,0.05,45,0.7600299026080806,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
9,0.1,42,0.7086916215112925,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
10,0.1,43,0.7086916215112925,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
11,0.1,44,0.7086916215112925,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
12,0.1,45,0.7086916215112925,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
13,0.15,42,0.6814664482646126,30.99744996865996,0.11461300169844038,1225.5301391774735,0.821951057081622,1225.5301391774735,0.821951057081622,True,,"[259, 175, 85, 43, 61, 121]",32
14,0.15,43,0.6767721697377871,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,,"[49, 43, 265, 325, 367, 277]",41
15,0.15,44,0.6573533404145043,46.32591440464667,0.21539743823089463,1209.7510606416308,0.8113681837048689,1209.7510606416308,0.8113681837048689,False,,"[385, 361, 61, 145, 175, 259]",47
