K,system_service_norm,system_cost_norm,system_fitness,adjusted_passenger_service,naive_passenger_service,total_route_cost,unique_edge_cost,shared_stop_count,shared_edge_count
2,0.5149076914768789,0.07999169459015014,0.21745799844336436,539.1083529762922,539.1083529762925,55.63072551871261,54.700614124605444,1.0,0.0
3,0.38640671666265747,0.06377364533144705,0.16131653566560522,606.8517485187035,606.8517485187039,75.0135186020079,72.15775626419864,2.0,0.0
4,0.30008040319325385,0.050601730554594174,0.12473933631932985,628.3683642866736,628.3683642866739,90.88638080520575,86.8839831428304,4.0,0.0
