run_id,lambda,seed,fitness,cost,cost_norm,passenger_service,passenger_service_norm,service,service_norm,is_pareto,pareto_label,best_individual,line_edges_count
81,1.0,42,-0.0040190614199737155,14.177042585142765,0.0040190614199737155,537.9410177230429,0.36079177005126895,537.9410177230429,0.36079177005126895,True,K_A,"[289, 271, 211, 229, 247, 187]",15
78,0.95,43,0.020839929867505193,14.229403900815385,0.004363336328801089,745.0563401934961,0.49970198759732404,745.0563401934961,0.49970198759732404,True,,"[19, 37, 55, 115, 175, 157]",15
57,0.7,42,0.17133693226583363,14.580453739792237,0.006671484047304986,874.7554408448533,0.586689903663157,874.7554408448533,0.586689903663157,True,K_B,"[361, 343, 325, 385, 367, 307]",15
72,0.85,45,0.08591704625817412,14.81838392799541,0.008235871664359464,923.6011583448766,0.6194502478191977,923.6011583448766,0.6194502478191977,True,,"[43, 61, 121, 103, 85, 67]",15
68,0.8,45,0.11930034727666126,16.87228386799967,0.02174023467552929,1019.0437740830974,0.6834626750854236,1019.0437740830974,0.6834626750854236,True,,"[67, 43, 61, 121, 181, 241]",17
59,0.7,44,0.18983155524998468,18.741512888186524,0.034030389004841066,1061.8555173540997,0.712176091844578,1061.8555173540997,0.712176091844578,True,,"[67, 85, 43, 61, 121, 241]",19
42,0.5,43,0.33818764913805266,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
38,0.45,43,0.37994912284131216,27.37648220570042,0.09080518994951567,1140.7826440127637,0.765111742397444,1140.7826440127637,0.765111742397444,True,,"[49, 67, 43, 265, 325, 367]",28
13,0.15,42,0.6814664482646126,30.99744996865996,0.11461300169844038,1225.5301391774735,0.821951057081622,1225.5301391774735,0.821951057081622,True,,"[259, 175, 85, 43, 61, 121]",32
2,0.0,43,0.8266215855298972,39.78249065249258,0.17237451975083642,1232.493903418583,0.8266215855298972,1232.493903418583,0.8266215855298972,True,K_C,"[49, 43, 265, 325, 367, 277]",41
