seed,d,shift,max_iter,T_0,lambda,num_lines,L,covered_demand,travel_cost
10,20,0.2,10000.0,3,0.4,2,8,83.18,-90.66
10,20,0.2,10000.0,3,0.4,2,8,75.17,-90.31
10,20,0.2,10000.0,3,0.4,2,8,72.05,-92.44
10,20,0.2,10000.0,3,0.4,2,8,82.77,-121.5
10,20,0.2,10000.0,3,0.4,2,8,78.15,-88.92
10,20,0.2,10000.0,3,0.4,2,8,59.02,-81.89
10,20,0.2,10000.0,3,0.4,2,8,56.72,-98.26
10,20,0.2,10000.0,3,0.4,2,8,67.44,-102.18
10,20,0.2,10000.0,3,0.4,2,8,82.77,-73.87
10,20,0.2,10000.0,3,0.45,2,8,82.77,-70.68
10,20,0.2,10000.0,3,0.45,2,8,73.54,-76.11
10,20,0.2,10000.0,3,0.45,2,8,73.54,-73.29
10,20,0.2,10000.0,3,0.45,2,8,73.68,-87.98
10,20,0.2,10000.0,3,0.45,2,8,74.9,-66.89
10,20,0.2,10000.0,3,0.45,2,8,62.82,-74.14
10,20,0.2,10000.0,3,0.45,2,8,58.21,-83.42
10,20,0.2,10000.0,3,0.45,2,8,73.54,-75.35
10,20,0.2,10000.0,3,0.45,2,8,73.54,-79.29
10,20,0.2,10000.0,3,0.45,2,8,78.29,-98.67
10,20,0.2,10000.0,3,0.5,2,8,58.34,-75.27
10,20,0.2,10000.0,3,0.5,2,8,69.74,-80.11
10,20,0.2,10000.0,3,0.5,2,8,73.54,-64.65
10,20,0.2,10000.0,3,0.5,2,8,73.54,-74.64
10,20,0.2,10000.0,3,0.5,2,8,73.81,-68.19
10,20,0.2,10000.0,3,0.5,2,8,70.15,-74.0
10,20,0.2,10000.0,3,0.5,2,8,58.21,-62.92
10,20,0.2,10000.0,3,0.5,2,8,73.54,-71.88
10,20,0.2,10000.0,3,0.5,2,8,73.68,-79.12
10,20,0.2,10000.0,3,0.5,2,8,73.54,-77.14
10,20,0.2,10000.0,3,0.55,2,8,74.36,-65.98
10,20,0.2,10000.0,3,0.55,2,8,62.82,-61.86
10,20,0.2,10000.0,3,0.55,2,8,78.15,-76.49
10,20,0.2,10000.0,3,0.55,2,8,72.05,-71.51
10,20,0.2,10000.0,3,0.55,2,8,73.54,-72.7
10,20,0.2,10000.0,3,0.55,2,8,62.96,-67.63
10,20,0.2,10000.0,3,0.55,2,8,68.93,-77.25
10,20,0.2,10000.0,3,0.55,2,8,73.54,-71.84
10,20,0.2,10000.0,3,0.55,2,8,73.54,-83.64
10,20,0.2,10000.0,3,0.55,2,8,68.93,-62.77
10,20,0.2,10000.0,3,0.6000000000000001,2,8,58.21,-70.5
10,20,0.2,10000.0,3,0.6000000000000001,2,8,70.01,-59.88
10,20,0.2,10000.0,3,0.6000000000000001,2,8,63.23,-69.79
10,20,0.2,10000.0,3,0.6000000000000001,2,8,73.54,-92.49
10,20,0.2,10000.0,3,0.6000000000000001,2,8,58.21,-57.39
10,20,0.2,10000.0,3,0.6000000000000001,2,8,58.62,-58.19
10,20,0.2,10000.0,3,0.6000000000000001,2,8,59.43,-60.89
10,20,0.2,10000.0,3,0.6000000000000001,2,8,74.36,-74.75
10,20,0.2,10000.0,3,0.6000000000000001,2,8,56.72,-58.56
10,20,0.2,10000.0,3,0.6000000000000001,2,8,64.31,-62.22
10,20,0.2,10000.0,3,0.65,2,8,69.74,-60.48
10,20,0.2,10000.0,3,0.65,2,8,54.41,-63.52
10,20,0.2,10000.0,3,0.65,2,8,59.43,-51.41
10,20,0.2,10000.0,3,0.65,2,8,68.39,-59.22
10,20,0.2,10000.0,3,0.65,2,8,48.71,-49.53
10,20,0.2,10000.0,3,0.65,2,8,68.93,-69.12
10,20,0.2,10000.0,3,0.65,2,8,69.34,-59.98
10,20,0.2,10000.0,3,0.65,2,8,70.15,-68.53
10,20,0.2,10000.0,3,0.65,2,8,67.84,-61.17
10,20,0.2,10000.0,3,0.65,2,8,54.82,-56.74
10,20,0.2,10000.0,3,0.7000000000000001,2,8,48.44,-56.45
10,20,0.2,10000.0,3,0.7000000000000001,2,8,42.88,-61.59
10,20,0.2,10000.0,3,0.7000000000000001,2,8,48.98,-52.99
10,20,0.2,10000.0,3,0.7000000000000001,2,8,58.21,-62.31
10,20,0.2,10000.0,3,0.7000000000000001,2,8,55.22,-54.34
10,20,0.2,10000.0,3,0.7000000000000001,2,8,48.71,-45.05
10,20,0.2,10000.0,3,0.7000000000000001,2,8,47.49,-55.36
10,20,0.2,10000.0,3,0.7000000000000001,2,8,58.21,-63.28
10,20,0.2,10000.0,3,0.7000000000000001,2,8,58.21,-51.41
10,20,0.2,10000.0,3,0.7000000000000001,2,8,62.82,-60.89
10,20,0.2,10000.0,3,0.75,2,8,52.1,-50.67
10,20,0.2,10000.0,3,0.75,2,8,47.9,-46.93
10,20,0.2,10000.0,3,0.75,2,8,52.24,-57.11
10,20,0.2,10000.0,3,0.75,2,8,58.75,-52.18
10,20,0.2,10000.0,3,0.75,2,8,47.9,-47.91
10,20,0.2,10000.0,3,0.75,2,8,48.3,-53.39
10,20,0.2,10000.0,3,0.75,2,8,58.21,-52.71
10,20,0.2,10000.0,3,0.75,2,8,47.9,-47.05
10,20,0.2,10000.0,3,0.75,2,8,41.79,-48.18
10,20,0.2,10000.0,3,0.75,2,8,48.58,-49.83
10,20,0.2,10000.0,3,0.8,2,8,53.6,-53.28
10,20,0.2,10000.0,3,0.8,2,8,38.26,-45.98
10,20,0.2,10000.0,3,0.8,2,8,41.79,-51.78
10,20,0.2,10000.0,3,0.8,2,8,52.51,-46.93
